No.,Items1,Items2,Items3,Items4,Items5,Items6,Items7,Items8,Items9,,,,,,,,,,,,,,,,,,,,,,,
1679,Kroisan,EsCoklat_botol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1680,Kroket,EsCoklat_botol,Camilan_khas_pati,Misoa,EsKopi_botol,Arem_arem,Donat,,,,,,,,,,,,,,,,,,,,,,,,,
1681,Kue_lumpur,Camilan_khas_pati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1682,Bollen_pisang,Kue_Kering,EsCoklat_botol,Roti_Tawar,Kroisan,Arem_arem,,,,,,,,,,,,,,,,,,,,,,,,,,
1683,Maffin,Apem,Camilan_khas_pati,Kroisan,Kue_lumpur,EsCoklat_botol,Donat,Arem_arem,,,,,,,,,,,,,,,,,,,,,,,,
1684,Kroket,Camilan_khas_pati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1685,Kroket,Maffin,Sosis_solo,Roti_Tawar,Kue_lumpur,,,,,,,,,,,,,,,,,,,,,,,,,,,
1686,Maffin,Kroket,Camilan_khas_pati,Donat,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1687,Arem_arem,Donat,EsCoklat_botol,Kue_lumpur,KunirAsem_botol,Apem,Kue_Kering,Camilan_khas_pati,,,,,,,,,,,,,,,,,,,,,,,,
1688,Arem_arem,Misoa,EsCoklat_botol,Maffin,Kroisan,Apem,Donat,Camilan_khas_pati,,,,,,,,,,,,,,,,,,,,,,,,
1689,Arem_arem,Apem,RotiManis_Keju,Kue_Kering,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1690,Lemper,Apem,Risoles,Camilan_khas_pati,Maffin,,,,,,,,,,,,,,,,,,,,,,,,,,,
1691,Brownies,Camilan_khas_pati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1692,Kroket,EsCoklat_botol,Arem_arem,Kue_lumpur,Maffin,,,,,,,,,,,,,,,,,,,,,,,,,,,
1693,Risoles,EsCoklat_botol,Maffin,RotiManis_Selai,RotiManis_Keju,Arem_arem,Donat,,,,,,,,,,,,,,,,,,,,,,,,,
1694,Bollen_pisang,Kue_Kering,Donat,RotiManis_Selai,RotiManis_Keju,EsCoklat_botol,Misoa,Arem_arem,,,,,,,,,,,,,,,,,,,,,,,,
1695,RotiManis_Keju,Lemper,Sosis_solo,Kroket,RotiManis_Coklat,EsKopi_botol,Donat,Arem_arem,,,,,,,,,,,,,,,,,,,,,,,,
1696,Camilan_khas_pati,EsCoklat_botol,RotiManis_Keju,Kue_Kering,RotiManis_Coklat,Arem_arem,Donat,Camilan_khas_pati,,,,,,,,,,,,,,,,,,,,,,,,
1697,Camilan_khas_pati,Apem,RotiManis_Keju,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1698,RotiManis_Keju,Risoles,Sosis_solo,Kue_lumpur,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1699,RotiManis_Keju,Apem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1700,Kue_Kering,EsCoklat_botol,Risoles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1701,Risoles,Camilan_khas_pati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1702,Bollen_pisang,Kue_Kering,Risoles,Donat,Maffin,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703,Maffin,RotiManis_Coklat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1704,Risoles,Arem_arem,Sosis_solo,Kroket,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1705,Kroket,Roti_Tawar,Risoles,Kue_lumpur,KunirAsem_botol,Arem_arem,Donat,,,,,,,,,,,,,,,,,,,,,,,,,
1706,Arem_arem,Kroket,Camilan_khas_pati,Misoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1707,Arem_arem,Kroket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1708,Kue_lumpur,EsCoklat_botol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1709,Kue_lumpur,Lemper,Arem_arem,Roti_Tawar,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1710,Arem_arem,Apem,EsCoklat_botol,Kroket,Kue_lumpur,,,,,,,,,,,,,,,,,,,,,,,,,,,
1711,Arem_arem,Apem,Sosis_solo,Maffin,RotiManis_Keju,EsKopi_botol,Donat,Camilan_khas_pati,,,,,,,,,,,,,,,,,,,,,,,,
1712,Risoles,Kroket,Sosis_solo,Camilan_khas_pati,RotiManis_Keju,EsKopi_botol,Donat,Arem_arem,,,,,,,,,,,,,,,,,,,,,,,,
1713,Arem_arem,EsCoklat_botol,Kroisan,Kue_lumpur,Risoles,Apem,Donat,Kroket,,,,,,,,,,,,,,,,,,,,,,,,
1714,Bollen_pisang,Camilan_khas_pati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1715,Roti_Tawar,Kue_lumpur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1716,EsKopi_botol,Camilan_khas_pati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1717,Arem_arem,Donat,Kue_lumpur,Misoa,Brownies,EsCoklat_botol,Kue_Kering,Camilan_khas_pati,,,,,,,,,,,,,,,,,,,,,,,,
1718,Bollen_pisang,Kue_Kering,EsCoklat_botol,Kue_lumpur,RotiManis_Keju,Arem_arem,Donat,Camilan_khas_pati,,,,,,,,,,,,,,,,,,,,,,,,
1719,Bollen_pisang,Kue_Kering,Maffin,Kroisan,Sosis_solo,EsCoklat_botol,Donat,,,,,,,,,,,,,,,,,,,,,,,,,
1720,RotiManis_Coklat,Sosis_solo,EsCoklat_botol,Donat,KunirAsem_botol,,,,,,,,,,,,,,,,,,,,,,,,,,,
1721,Bollen_pisang,Kue_Kering,EsCoklat_botol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1722,Arem_arem,RotiManis_Keju,Camilan_khas_pati,Misoa,Brownies,EsCoklat_botol,Donat,Kroket,,,,,,,,,,,,,,,,,,,,,,,,
1723,Kue_lumpur,Camilan_khas_pati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1724,Maffin,Apem,Donat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1725,Arem_arem,Kroket,EsCoklat_botol,Maffin,Sosis_solo,Apem,Donat,Camilan_khas_pati,,,,,,,,,,,,,,,,,,,,,,,,
1726,Risoles,EsCoklat_botol,Kroisan,Donat,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1727,RotiManis_Keju,EsCoklat_botol,Brownies,Kroket,Kue_lumpur,,,,,,,,,,,,,,,,,,,,,,,,,,,
1728,Roti_Tawar,Camilan_khas_pati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1729,EsKopi_botol,Camilan_khas_pati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1730,Lemper,KunirAsem_botol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1731,EsCoklat_botol,Apem,Arem_arem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1732,Kue_Kering,Sosis_solo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1733,RotiManis_Keju,Lemper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1734,Risoles,RotiManis_Selai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1735,Risoles,Maffin,RotiManis_Keju,EsCoklat_botol,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1736,Camilan_khas_pati,Sosis_solo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1737,Maffin,Lemper,Sosis_solo,RotiManis_Selai,Risoles,EsCoklat_botol,,,,,,,,,,,,,,,,,,,,,,,,,,
1738,KunirAsem_botol,Camilan_khas_pati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1739,Kroket,EsCoklat_botol,RotiManis_Keju,Roti_Tawar,Maffin,Arem_arem,,,,,,,,,,,,,,,,,,,,,,,,,,
1740,Kroket,Lemper,Camilan_khas_pati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1741,Brownies,Camilan_khas_pati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1742,Brownies,Camilan_khas_pati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1743,Camilan_khas_pati,Risoles,Sosis_solo,RotiManis_Keju,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1744,Lemper,Camilan_khas_pati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1745,Kue_lumpur,EsCoklat_botol,Arem_arem,Kroket,Misoa,,,,,,,,,,,,,,,,,,,,,,,,,,,
1746,Bollen_pisang,Camilan_khas_pati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1747,Kue_lumpur,Camilan_khas_pati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1748,Kroisan,RotiManis_Coklat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1749,Brownies,Camilan_khas_pati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1750,Kue_Kering,Sosis_solo,RotiManis_Keju,Lemper,Kue_lumpur,,,,,,,,,,,,,,,,,,,,,,,,,,,
1751,Kroket,Maffin,EsCoklat_botol,Lemper,RotiManis_Keju,Arem_arem,,,,,,,,,,,,,,,,,,,,,,,,,,
1752,Brownies,Camilan_khas_pati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1753,EsKopi_botol,Camilan_khas_pati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1754,Roti_Tawar,RotiManis_Coklat,Arem_arem,Kue_lumpur,Misoa,EsKopi_botol,Donat,Kroket,,,,,,,,,,,,,,,,,,,,,,,,
1755,Lemper,Misoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1756,Bollen_pisang,Kue_Kering,Donat,Kue_lumpur,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1757,Misoa,Kroket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1758,Bollen_pisang,Kue_Kering,Sosis_solo,Kue_lumpur,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1759,Brownies,Camilan_khas_pati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1760,Kue_lumpur,EsCoklat_botol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1761,Risoles,Sosis_solo,Arem_arem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1762,Risoles,Camilan_khas_pati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1763,Kroket,Risoles,EsCoklat_botol,Camilan_khas_pati,RotiManis_Keju,Arem_arem,,,,,,,,,,,,,,,,,,,,,,,,,,
1764,Roti_Tawar,Camilan_khas_pati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1765,Arem_arem,EsCoklat_botol,Camilan_khas_pati,Kroket,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1766,Risoles,EsCoklat_botol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1767,Camilan_khas_pati,Apem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1768,Kroisan,Sosis_solo,KunirAsem_botol,Maffin,EsCoklat_botol,,,,,,,,,,,,,,,,,,,,,,,,,,,
1769,Maffin,Camilan_khas_pati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1770,Bollen_pisang,Kue_Kering,Maffin,Kroket,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1771,Bollen_pisang,Kue_Kering,Sosis_solo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1772,Risoles,Roti_Tawar,RotiManis_Keju,Donat,Maffin,KunirAsem_botol,,,,,,,,,,,,,,,,,,,,,,,,,,
1773,Kroket,Apem,EsCoklat_botol,RotiManis_Selai,EsKopi_botol,Arem_arem,Donat,,,,,,,,,,,,,,,,,,,,,,,,,
1774,Maffin,Kroket,EsCoklat_botol,Kroisan,RotiManis_Keju,Arem_arem,Donat,Camilan_khas_pati,,,,,,,,,,,,,,,,,,,,,,,,
1775,Risoles,Kroket,Maffin,Lemper,EsCoklat_botol,Arem_arem,Donat,Camilan_khas_pati,,,,,,,,,,,,,,,,,,,,,,,,
1776,Brownies,Camilan_khas_pati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1777,Sosis_solo,Arem_arem,RotiManis_Keju,Kroket,EsCoklat_botol,Brownies,,,,,,,,,,,,,,,,,,,,,,,,,,
1778,Kue_lumpur,RotiManis_Keju,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1779,Brownies,Camilan_khas_pati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1780,Bollen_pisang,Kue_Kering,Arem_arem,Misoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1781,RotiManis_Keju,EsCoklat_botol,Kroisan,RotiManis_Coklat,Kue_lumpur,,,,,,,,,,,,,,,,,,,,,,,,,,,
1782,Kroket,Camilan_khas_pati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1783,RotiManis_Coklat,Kroisan,RotiManis_Keju,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1784,Kroket,Brownies,RotiManis_Keju,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1785,EsCoklat_botol,Kroket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1786,Arem_arem,Kroket,EsCoklat_botol,Kue_lumpur,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1787,Kroket,Camilan_khas_pati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1788,Arem_arem,RotiManis_Selai,Risoles,Donat,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1789,Sosis_solo,Lemper,RotiManis_Selai,Camilan_khas_pati,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1790,Kroket,Apem,Sosis_solo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1791,Arem_arem,EsCoklat_botol,Apem,Kue_Kering,Kroisan,,,,,,,,,,,,,,,,,,,,,,,,,,,
1792,Risoles,EsCoklat_botol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1793,Lemper,Camilan_khas_pati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1794,Kroket,RotiManis_Coklat,EsCoklat_botol,Risoles,Kroisan,Arem_arem,,,,,,,,,,,,,,,,,,,,,,,,,,
1795,Kroket,EsCoklat_botol,Sosis_solo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1796,Brownies,Camilan_khas_pati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1797,Risoles,EsCoklat_botol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1798,Kroket,Arem_arem,EsCoklat_botol,Kue_lumpur,Kroisan,Brownies,Donat,Maffin,Lemper,,,,,,,,,,,,,,,,,,,,,,,
1799,Kroket,Kroisan,RotiManis_Keju,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1800,Kroket,Risoles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1801,Maffin,Donat,EsCoklat_botol,Kue_lumpur,Lemper,,,,,,,,,,,,,,,,,,,,,,,,,,,
1802,Arem_arem,Misoa,Risoles,Kroket,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1803,Camilan_khas_pati,Roti_Tawar,Kroket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1804,Risoles,Camilan_khas_pati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1805,Kroket,Camilan_khas_pati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1806,Arem_arem,RotiManis_Keju,Kue_lumpur,Misoa,EsKopi_botol,Apem,Donat,Camilan_khas_pati,,,,,,,,,,,,,,,,,,,,,,,,
1807,Risoles,Camilan_khas_pati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1808,Kroket,Donat,RotiManis_Keju,Risoles,Brownies,,,,,,,,,,,,,,,,,,,,,,,,,,,
1809,Bollen_pisang,Kue_Kering,Camilan_khas_pati,Roti_Tawar,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1810,Camilan_khas_pati,Brownies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1811,Risoles,Camilan_khas_pati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1812,Kroket,Camilan_khas_pati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1813,Arem_arem,RotiManis_Keju,EsCoklat_botol,Camilan_khas_pati,EsKopi_botol,,,,,,,,,,,,,,,,,,,,,,,,,,,
1814,Maffin,Arem_arem,Camilan_khas_pati,Lemper,Kue_lumpur,,,,,,,,,,,,,,,,,,,,,,,,,,,
1815,Kroket,Brownies,Camilan_khas_pati,Maffin,EsKopi_botol,Arem_arem,Donat,Bollen_pisang,,,,,,,,,,,,,,,,,,,,,,,,
1816,Bollen_pisang,Kue_Kering,EsCoklat_botol,Donat,EsKopi_botol,,,,,,,,,,,,,,,,,,,,,,,,,,,
1817,Sosis_solo,EsCoklat_botol,Roti_Tawar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1818,Lemper,Kroisan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1819,Kroket,Camilan_khas_pati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1820,EsKopi_botol,Camilan_khas_pati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1821,Kue_Kering,Apem,Sosis_solo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1822,RotiManis_Keju,Kroisan,EsKopi_botol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1823,Roti_Tawar,EsCoklat_botol,Kroisan,Lemper,RotiManis_Keju,Arem_arem,Donat,Kroket,,,,,,,,,,,,,,,,,,,,,,,,
1824,Maffin,Apem,EsCoklat_botol,Kroket,Brownies,Arem_arem,Donat,Camilan_khas_pati,,,,,,,,,,,,,,,,,,,,,,,,
1825,Kroket,EsKopi_botol,Arem_arem,Risoles,EsCoklat_botol,Sosis_solo,Donat,Maffin,Lemper,,,,,,,,,,,,,,,,,,,,,,,
1826,Kue_lumpur,EsCoklat_botol,Donat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1827,Risoles,Arem_arem,Kue_lumpur,RotiManis_Selai,EsKopi_botol,Brownies,Donat,Kroket,,,,,,,,,,,,,,,,,,,,,,,,
1828,RotiManis_Keju,Camilan_khas_pati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1829,Kroket,RotiManis_Keju,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1830,Kroket,Camilan_khas_pati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1831,Kroket,Roti_Tawar,Camilan_khas_pati,Kue_lumpur,Risoles,,,,,,,,,,,,,,,,,,,,,,,,,,,
1832,RotiManis_Keju,Arem_arem,Maffin,Lemper,Kue_lumpur,EsKopi_botol,Donat,,,,,,,,,,,,,,,,,,,,,,,,,
1833,Maffin,Apem,RotiManis_Keju,Kroisan,KunirAsem_botol,Arem_arem,Donat,Camilan_khas_pati,,,,,,,,,,,,,,,,,,,,,,,,
1834,Lemper,EsCoklat_botol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1835,Kroket,Brownies,Arem_arem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1836,Kroket,Maffin,EsCoklat_botol,Lemper,Kroisan,Arem_arem,Donat,Camilan_khas_pati,,,,,,,,,,,,,,,,,,,,,,,,
1837,Bollen_pisang,Kue_Kering,Sosis_solo,Camilan_khas_pati,EsCoklat_botol,Arem_arem,,,,,,,,,,,,,,,,,,,,,,,,,,
1838,Risoles,EsKopi_botol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1839,Kue_lumpur,KunirAsem_botol,Donat,Apem,RotiManis_Keju,Arem_arem,Kue_Kering,,,,,,,,,,,,,,,,,,,,,,,,,
1840,Risoles,Apem,EsCoklat_botol,Lemper,Risoles,,,,,,,,,,,,,,,,,,,,,,,,,,,
1841,Camilan_khas_pati,Kroket,EsCoklat_botol,Kue_Kering,Kroisan,Arem_arem,,,,,,,,,,,,,,,,,,,,,,,,,,
1842,Kroket,RotiManis_Coklat,Sosis_solo,EsCoklat_botol,Brownies,Arem_arem,Donat,,,,,,,,,,,,,,,,,,,,,,,,,
1843,Camilan_khas_pati,Risoles,RotiManis_Keju,Kroket,Maffin,,,,,,,,,,,,,,,,,,,,,,,,,,,
1844,Bollen_pisang,Kue_Kering,EsCoklat_botol,Risoles,Kue_lumpur,,,,,,,,,,,,,,,,,,,,,,,,,,,
1845,Brownies,Kue_lumpur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1846,Kue_lumpur,Kroket,EsCoklat_botol,RotiManis_Selai,RotiManis_Keju,Arem_arem,Donat,Camilan_khas_pati,,,,,,,,,,,,,,,,,,,,,,,,
1847,Kroket,Brownies,EsCoklat_botol,RotiManis_Selai,EsKopi_botol,Arem_arem,,,,,,,,,,,,,,,,,,,,,,,,,,
1848,Kue_Kering,Camilan_khas_pati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1849,Kue_lumpur,Camilan_khas_pati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1850,Sosis_solo,EsCoklat_botol,Risoles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1851,Risoles,EsKopi_botol,KunirAsem_botol,Camilan_khas_pati,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1852,Brownies,RotiManis_Keju,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1853,Kroket,EsCoklat_botol,Maffin,Roti_Tawar,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1854,Sosis_solo,Kroket,RotiManis_Selai,Maffin,EsKopi_botol,Arem_arem,Donat,Bollen_pisang,,,,,,,,,,,,,,,,,,,,,,,,
1855,Risoles,RotiManis_Keju,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1856,Kue_lumpur,Camilan_khas_pati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,Risoles,Kroket,EsCoklat_botol,Apem,EsKopi_botol,Arem_arem,Donat,Camilan_khas_pati,,,,,,,,,,,,,,,,,,,,,,,,
1858,Lemper,Camilan_khas_pati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1859,Kue_lumpur,Camilan_khas_pati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1860,Kue_lumpur,Sosis_solo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1861,Arem_arem,Maffin,Sosis_solo,Kroket,Lemper,,,,,,,,,,,,,,,,,,,,,,,,,,,
1862,Kue_Kering,Lemper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1863,Apem,Brownies,RotiManis_Coklat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1864,Bollen_pisang,Kue_Kering,Arem_arem,Risoles,Kue_lumpur,EsKopi_botol,Donat,Kroket,,,,,,,,,,,,,,,,,,,,,,,,
1865,RotiManis_Keju,Lemper,Maffin,Kue_Kering,Sosis_solo,,,,,,,,,,,,,,,,,,,,,,,,,,,
1866,Kue_lumpur,RotiManis_Coklat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1867,Kroket,Apem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1868,Arem_arem,Donat,EsCoklat_botol,RotiManis_Selai,Kroisan,Apem,Kue_Kering,Camilan_khas_pati,,,,,,,,,,,,,,,,,,,,,,,,
1869,Kroket,EsCoklat_botol,RotiManis_Keju,Lemper,Maffin,Arem_arem,Donat,Camilan_khas_pati,,,,,,,,,,,,,,,,,,,,,,,,
1870,Lemper,Camilan_khas_pati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1871,Kroket,Brownies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1872,Risoles,Camilan_khas_pati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1873,Kroket,Camilan_khas_pati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1874,Roti_Tawar,Risoles,EsCoklat_botol,Donat,Kue_lumpur,,,,,,,,,,,,,,,,,,,,,,,,,,,
1875,Kue_lumpur,Kroket,EsCoklat_botol,Apem,Misoa,Arem_arem,,,,,,,,,,,,,,,,,,,,,,,,,,
1876,Kue_lumpur,RotiManis_Keju,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1877,Kue_Kering,Risoles,Donat,RotiManis_Keju,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1878,Kroket,Sosis_solo,Camilan_khas_pati,Kue_lumpur,Risoles,,,,,,,,,,,,,,,,,,,,,,,,,,,
1879,Arem_arem,Misoa,Brownies,Risoles,Kue_lumpur,EsCoklat_botol,Donat,Camilan_khas_pati,,,,,,,,,,,,,,,,,,,,,,,,
1880,Lemper,Camilan_khas_pati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1881,Kue_lumpur,EsCoklat_botol,RotiManis_Keju,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1882,Kroket,Brownies,Camilan_khas_pati,Misoa,RotiManis_Keju,EsKopi_botol,Donat,Arem_arem,,,,,,,,,,,,,,,,,,,,,,,,
1883,Kroket,Apem,Sosis_solo,Kue_lumpur,KunirAsem_botol,,,,,,,,,,,,,,,,,,,,,,,,,,,
1884,Kroket,Brownies,EsKopi_botol,Risoles,Sosis_solo,,,,,,,,,,,,,,,,,,,,,,,,,,,
1885,Kue_lumpur,Kroket,Donat,Kue_Kering,EsKopi_botol,Arem_arem,Camilan_khas_pati,Maffin,Lemper,,,,,,,,,,,,,,,,,,,,,,,
1886,Risoles,Roti_Tawar,Camilan_khas_pati,Kue_lumpur,Maffin,,,,,,,,,,,,,,,,,,,,,,,,,,,
1887,Kroket,Risoles,Sosis_solo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1888,Kroisan,Lemper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1889,Camilan_khas_pati,RotiManis_Coklat,Sosis_solo,EsCoklat_botol,EsKopi_botol,,,,,,,,,,,,,,,,,,,,,,,,,,,
1890,Sosis_solo,RotiManis_Coklat,EsCoklat_botol,RotiManis_Selai,Brownies,Arem_arem,Donat,Camilan_khas_pati,,,,,,,,,,,,,,,,,,,,,,,,
1891,Maffin,Sosis_solo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1892,Kroket,EsKopi_botol,RotiManis_Keju,Roti_Tawar,Maffin,Arem_arem,Donat,,,,,,,,,,,,,,,,,,,,,,,,,
1893,Maffin,Kroket,Kue_lumpur,Sosis_solo,Misoa,EsKopi_botol,Donat,Arem_arem,,,,,,,,,,,,,,,,,,,,,,,,
1894,Kroket,EsCoklat_botol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1895,Kroisan,Camilan_khas_pati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1896,Camilan_khas_pati,EsCoklat_botol,Donat,Risoles,Kue_lumpur,EsKopi_botol,Kue_Kering,Arem_arem,,,,,,,,,,,,,,,,,,,,,,,,
1897,RotiManis_Keju,EsCoklat_botol,Arem_arem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1898,Kroket,Roti_Tawar,Camilan_khas_pati,Kue_lumpur,Risoles,EsKopi_botol,,,,,,,,,,,,,,,,,,,,,,,,,,
1899,Kroket,Maffin,EsCoklat_botol,EsKopi_botol,Lemper,Arem_arem,Donat,Bollen_pisang,,,,,,,,,,,,,,,,,,,,,,,,
1900,Lemper,Camilan_khas_pati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1901,KunirAsem_botol,Camilan_khas_pati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1902,Risoles,Camilan_khas_pati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1903,Camilan_khas_pati,Kroket,Donat,Risoles,Maffin,,,,,,,,,,,,,,,,,,,,,,,,,,,
